state_fips,place_fips,name,state,lat,lng
01,25816,Faunsdale town,AL,32.457614,-87.593789
01,25840,Fayette city,AL,33.694215,-87.831169
01,25864,Fayetteville CDP,AL,33.168097,-86.442774
01,26152,Fitzpatrick CDP,AL,32.210377,-85.873693
01,26200,Five Points town,AL,33.017311,-85.351592
01,26824,Flomaton town,AL,31.014816,-87.256016
01,26848,Florala town,AL,31.022391,-86.318152
01,26896,Florence city,AL,34.830323,-87.666139
01,26992,Foley city,AL,30.397009,-87.664211
01,27088,Forestdale CDP,AL,33.573701,-86.900047
01,27376,Forkland town,AL,32.647435,-87.867436
01,27520,Fort Deposit town,AL,31.986261,-86.566359
01,27616,Fort Payne city,AL,34.457329,-85.689447
01,27640,Fort Rucker CDP,AL,31.342576,-85.716072
01,28024,Franklin town,AL,32.452693,-85.78541
01,28120,Fredonia CDP,AL,32.983577,-85.292306
01,28312,Frisco City town,AL,31.439485,-87.404182
01,28408,Fruitdale CDP,AL,31.34979,-88.410937
01,28432,Fruithurst town,AL,33.729539,-85.431249
01,28504,Fulton town,AL,31.790989,-87.744212
01,28552,Fultondale city,AL,33.617363,-86.801436
01,28672,Fyffe town,AL,34.448957,-85.905167
01,28696,Gadsden city,AL,34.006597,-86.016078
01,28768,Gainesville town,AL,32.814934,-88.160791
01,28816,Gallant CDP,AL,34.001318,-86.230171
01,28936,Gantt town,AL,31.41074,-86.483524
01,29032,Garden City town,AL,34.014688,-86.749054
01,29056,Gardendale city,AL,33.676587,-86.809844
01,29296,Gaylesville town,AL,34.267444,-85.561248
01,29392,Geiger town,AL,32.868715,-88.318154
01,29464,Geneva city,AL,31.044886,-85.876818
01,29560,Georgiana town,AL,31.639134,-86.746762
01,29608,Geraldine town,AL,34.359087,-86.002579
01,29704,Gilbertown town,AL,31.866247,-88.307545
01,29944,Glen Allen town,AL,33.892108,-87.732682
01,29992,Glencoe city,AL,33.948339,-85.933606
01,30160,Glenwood town,AL,31.671266,-86.173687
01,30448,Goldville town,AL,33.084867,-85.777982
01,30496,Good Hope city,AL,34.110689,-86.867104
01,30640,Goodwater town,AL,33.060713,-86.052486
01,30736,Gordo town,AL,33.322286,-87.903681
01,30760,Gordon town,AL,31.143606,-85.092504
01,30808,Gordonville town,AL,32.159179,-86.704235
01,30880,Goshen town,AL,31.720015,-86.123245
01,31000,Graham CDP,AL,33.455191,-85.323085
01,31024,Grand Bay CDP,AL,30.472082,-88.344401
01,31096,Grant town,AL,34.518173,-86.26043
01,31348,Grayson Valley CDP,AL,33.646568,-86.641942
01,31384,Graysville city,AL,33.633756,-86.941398
01,31720,Greensboro city,AL,32.700968,-87.5937
01,31912,Greenville city,AL,31.843072,-86.636951
01,32056,Grimes town,AL,31.299869,-85.45029
01,32080,Grove Hill town,AL,31.69867,-87.772868
01,32224,Guin city,AL,33.98322,-87.902363
01,32248,Gulfcrest CDP,AL,30.991106,-88.242231
01,32272,Gulf Shores city,AL,30.275837,-87.701258
01,32416,Guntersville city,AL,34.367947,-86.252323
01,32440,Gurley town,AL,34.701364,-86.380271
01,32536,Gu-Win town,AL,33.94433,-87.870376
01,32560,Hackleburg town,AL,34.269355,-87.830402
01,32584,Hackneyville CDP,AL,33.054654,-85.934423
01,32656,Haleburg town,AL,31.409976,-85.138068
01,32704,Haleyville city,AL,34.233832,-87.617574
